"","x"
"1",208500
"2",181500
"3",223500
"4",200000
"5",118000
"6",129500
"7",345000
"8",144000
"9",279500
"10",157000
"11",90000
"12",325300
"13",139400
"14",230000
"15",129900
"16",154000
"17",256300
"18",306000
"19",207500
"20",40000
"21",149350
"22",179900
"23",277500
"24",309000
"25",145000
"26",153000
"27",109000
"28",170000
"29",144000
"30",130250
"31",141000
"32",319900
"33",249700
"34",113000
"35",127000
"36",177000
"37",114500
"38",110000
"39",385000
"40",172500
"41",438780
"42",101000
"43",202500
"44",317000
"45",180000
"46",226000
"47",80000
"48",225000
"49",129500
"50",185000
"51",107400
"52",135750
"53",127000
"54",136500
"55",110000
"56",153500
"57",245000
"58",126500
"59",174000
"60",164500
"61",85000
"62",123600
"63",109900
"64",98600
"65",163500
"66",204750
"67",185000
"68",214000
"69",94750
"70",83000
"71",198900
"72",169500
"73",250000
"74",100000
"75",115000
"76",115000
"77",190000
"78",136900
"79",180000
"80",383970
"81",217000
"82",259500
"83",176000
"84",155000
"85",320000
"86",163990
"87",180000
"88",100000
"89",136000
"90",181000
"91",128000
"92",87000
"93",155000
"94",226000
"95",244000
"96",180000
"97",143000
"98",171000
"99",230000
"100",260000
"101",166000
"102",125000
"103",130000
"104",105000
"105",115000
"106",190000
"107",235000
"108",79000
"109",109500
"110",269500
"111",254900
"112",162500
"113",412500
"114",103200
"115",127500
"116",190000
"117",325624
"118",183500
"119",228000
"120",163000
"121",184000
"122",243000
"123",172500
"124",501837
"125",100000
"126",200000
"127",127000
"128",475000
"129",135000
"130",153337
"131",286000
"132",315000
"133",130000
"134",127000
"135",148500
"136",311872
"137",235000
"138",104000
"139",149000
"140",110000
"141",143900
"142",141000
"143",277000
"144",145000
"145",186000
"146",156000
"147",161750
"148",134450
"149",210000
"150",204900
"151",200000
"152",179900
"153",386250
"154",106000
"155",192500
"156",148000
"157",94500
"158",128200
"159",89500
"160",194500
"161",262500
"162",120000
"163",205000
"164",137000
"165",140000
"166",180000
"167",277000
"168",76500
"169",235000
"170",173000
"171",158000
"172",230000
"173",207500
"174",231500
"175",176000
"176",276000
"177",151000
"178",130000
"179",73000
"180",175500
"181",185000
